Transaction Collection Report

 Trans ID     Job#  Empl ID  OpersID   Start Date/Time    Stop Date/Time  Result
  125533      1918      526     4066  01/25/2010 08:46  01/25/2010 08:46  128553                 
  124899      1920      407    33497  01/22/2010 23:45  01/23/2010 01:28  128554                 
  124920      1920      620     4562  01/23/2010 02:34  01/23/2010 03:56  128555                 
  124936      1920      620     4568  01/23/2010 03:53  01/23/2010 03:53  128556                 
  125003      1920      620     4562  01/23/2010 06:07  01/24/2010 02:05  128557                 
  125111      1920      620     4568  01/23/2010 09:14  01/23/2010 09:14  128558                 
  125155      1920      119     4572  01/23/2010 17:02  01/23/2010 17:17  128559                 
  125156      1920      526     5584  01/23/2010 17:03  01/23/2010 17:17  128560                 
  125157      1920      119     4576  01/23/2010 17:10  01/23/2010 17:10  128561                 
  125202      1920      311     4572  01/24/2010 03:22  01/24/2010 08:02  128562                 
  125241      1920      311     4576  01/24/2010 06:01  01/24/2010 06:01  128563                 
  125295      1920      126     4561  01/24/2010 09:31  01/24/2010 09:46  128564                 
  125308      1920      311     4576  01/24/2010 10:06  01/24/2010 10:06  128565                 
  125365      1920      119     4572  01/25/2010 01:56  01/25/2010 02:58  128566                 
  125366      1920      526     5584  01/25/2010 02:00  01/25/2010 02:59  128567                 
  125368      1920      620     4561  01/25/2010 02:05  01/25/2010 03:56  128568                 
  125373      1920      119     4576  01/25/2010 02:51  01/25/2010 02:51  128569                 
  125395      1920      620     4568  01/25/2010 03:55  01/25/2010 03:55  128570                 
  125425      1920      620     4561  01/25/2010 04:44  01/25/2010 05:16  128571                 
  125442      1920      620     4568  01/25/2010 05:15  01/25/2010 05:15  128572                 
  125479      1920      119     4572  01/25/2010 06:49  01/25/2010 07:21  128573                 
  125480      1920      526     5584  01/25/2010 06:49  01/25/2010 07:37  128574                 
  125500      1920      526     4576  01/25/2010 07:34  01/25/2010 07:34  128575                 
  124909      1925      126     4471  01/23/2010 01:34  01/23/2010 01:55  128576                 
  124926      1925      119     4482  01/23/2010 03:15  01/23/2010 03:41  128577                 
  124927      1925      526     4482  01/23/2010 03:16  01/23/2010 03:41  128578                 
  124928      1925      119     4486  01/23/2010 03:28  01/23/2010 03:28  128579                 
  125262      1925      305     5676  01/24/2010 07:08  01/24/2010 07:33  128580                 
  125267      1925      305     4486  01/24/2010 07:22  01/24/2010 07:22  128581                 
  125271      1925      126     4471  01/24/2010 07:41  01/24/2010 08:12  128582                 
  125407      1925      305     5676  01/25/2010 04:10  01/25/2010 07:44  128583                 
  125527      1925      620     4471  01/25/2010 08:40  01/25/2010 09:35  128584                 
  125542      1925      305     5676  01/25/2010 09:09  01/25/2010 10:37  128585                 
  125552      1925      620     4478  01/25/2010 09:34  01/25/2010 09:34  128586                 
  125563      1925      305     4486  01/25/2010 09:50  01/25/2010 09:50  128587                 
  125374      1927      126     5219  01/25/2010 02:56  01/25/2010 03:15  128588                 
  125074      1955      126     3961  01/23/2010 07:59  01/23/2010 08:17  128589                 
  124938      1956      126    24177  01/23/2010 04:04  01/23/2010 05:21  128590                 
  125024      1956      330    24192  01/23/2010 06:35  01/23/2010 06:35  128591                 
  125381      1956      126    24177  01/25/2010 03:15  01/25/2010 04:01  128592                 
  125502      1956      126    24177  01/25/2010 07:39  01/25/2010 08:12  128593                 
  124945      1994      119     4392  01/23/2010 04:37  01/23/2010 04:59  128594                 
  124946      1994      526     4392  01/23/2010 04:38  01/23/2010 04:59  128595                 
  124948      1994      119     4396  01/23/2010 04:51  01/23/2010 04:51  128596                 
  124960      1994      620     4382  01/23/2010 05:01  01/23/2010 06:07  128597                 
  125001      1994      620     4388  01/23/2010 06:06  01/23/2010 06:06  128598                 
  125242      1994      311     4396  01/24/2010 06:02  01/24/2010 06:02  128599                 
  125296      1994      311     4396  01/24/2010 09:32  01/24/2010 09:32  128600                 
  125396      1994      620     4381  01/25/2010 03:56  01/25/2010 04:44  128601                 
  125422      1994      620     4388  01/25/2010 04:43  01/25/2010 04:43  128602                 
  125495      1994      119     4392  01/25/2010 07:21  01/25/2010 07:54  128603                 
  125501      1994      526     5599  01/25/2010 07:37  01/25/2010 07:57  128604                 
  125513      1994      526     4396  01/25/2010 07:56  01/25/2010 07:56  128605                 
  124884      1859      561    20273  01/22/2010 09:12  01/22/2010 09:49  128606                 
  124885      1859      561    20279  01/22/2010 09:24  01/22/2010 09:24  128607                 
  125320      1859      561    20273  01/24/2010 11:33  01/25/2010 04:05  128608                 
  125323      1859      561    20279  01/24/2010 11:40  01/24/2010 11:40  128609                 
  124977      1856      252    20234  01/23/2010 05:37  01/23/2010 06:11  128610                 
  125316      1856      219    20234  01/24/2010 11:03  01/24/2010 11:37  128611                 
  125470      1856      252    20234  01/25/2010 06:20  01/25/2010 06:55  128612                 
  124953      1869      330     5735  01/23/2010 04:58  01/23/2010 05:18  128613                 
  124962      1869      330     3346  01/23/2010 05:11  01/23/2010 05:11  128614                 
  125051      1869      252     3332  01/23/2010 07:12  01/23/2010 07:25  128615                 
  125090      1869      330     5735  01/23/2010 08:21  01/23/2010 08:34  128616                 
  125247      1869      134     5735  01/24/2010 06:23  01/24/2010 06:41  128617                 
  125256      1869      134     3346  01/24/2010 06:47  01/24/2010 06:47  128618                 
  125276      1869      134     5735  01/24/2010 08:13  01/24/2010 08:34  128619                 
  125277      1869      134     3346  01/24/2010 08:14  01/24/2010 08:14  128620                 
